№,сталь,Ry,сечение,h,b,S,t,R,A_см2,вес_кг,Ix_см4,Wx_см3,Sx_см3,ix_см,Iy_см4,Wy_см3,iy_см
1,С245,240,кв.50х2,50,50,,,,3.9,3,14.4,5.7,,1.96,14.4,5.7,1.96
2,С245,240,"кв.50х2,5",50,50,,,,4.7,3.6,17.2,6.8,,1.93,17.2,6.8,1.93
3,С245,240,кв.50х3,50,50,,,,5.5,4.3,19.9,7.9,,1.91,19.9,7.9,1.91
4,С245,240,кв.50х4,50,50,,,,7.1,5.5,24.5,9.8,,1.86,24.5,9.8,1.86
5,С245,240,кв.50х5,50,50,,,,8.6,6.7,28.3,11.3,,1.81,28.3,11.3,1.81
6,С245,240,"кв.80х2,5",80,80,,,,7.7,6,74.6,18.7,,3.12,74.6,18.7,3.12
7,С245,240,кв.80х3,80,80,,,,9.2,7.2,89.5,22.4,,3.12,89.5,22.4,3.12
8,С245,240,кв.80х4,80,80,,,,12.2,9.6,115.3,28.8,,3.07,115.3,28.8,3.07
9,С245,240,кв.80х5,80,80,,,,15,11.8,138,34.5,,3.03,138,34.5,3.03
10,С245,240,кв.80х6,80,80,,,,17.8,14,158.1,39.5,,2.98,158.1,39.5,2.98
11,С245,240,кв.100х3,100,100,,,,11.6,9.1,180.2,36,,3.94,180.2,36,3.94
12,С245,240,кв.100х4,100,100,,,,15.3,12,231.3,46.3,,3.89,231.3,46.3,3.89
13,С245,240,кв.100х5,100,100,,,,18.9,14.8,278.7,55.7,,3.84,278.7,55.7,3.84
14,С245,240,кв.100х6,100,100,,,,22.6,17.7,326.3,65.3,,3.8,326.3,65.3,3.8
15,С245,240,кв.100х7,100,100,,,,26.2,20.5,373.9,74.8,,3.75,373.9,74.8,3.75
16,С245,240,кв.120х3,120,120,,,,14,11,315.1,52.5,,4.76,315.1,52.5,4.76
17,С245,240,кв.120х4,120,120,,,,18.5,14.5,408.5,68.1,,4.71,408.5,68.1,4.71
18,С245,240,кв.120х5,120,120,,,,22.9,18,497.9,83,,4.66,497.9,83,4.66
19,С245,240,кв.120х6,120,120,,,,27.4,21.5,583.4,97.2,,4.61,583.4,97.2,4.61
20,С245,240,кв.140х4,140,140,,,,21.6,17,657.9,94,,5.52,657.9,94,5.52
21,С245,240,кв.140х5,140,140,,,,26.9,21.1,808.4,115.5,,5.48,808.4,115.5,5.48
22,С245,240,кв.140х6,140,140,,,,32.1,25.2,947.1,135.3,,5.43,947.1,135.3,5.43
23,С245,240,кв.140х7,140,140,,,,37.2,29.2,1077.1,153.9,,5.38,1077.1,153.9,5.38
24,С245,240,кв.140х8,140,140,,,,42.3,33.2,1201.7,171.7,,5.33,1201.7,171.7,5.33
25,С245,240,кв.160х4,160,160,,,,24.7,19.4,989.7,123.7,,6.33,989.7,123.7,6.33
26,С245,240,кв.160х5,160,160,,,,30.7,24.1,1214.6,151.8,,6.29,1214.6,151.8,6.29
27,С245,240,кв.160х6,160,160,,,,36.8,28.9,1435.1,179.4,,6.24,1435.1,179.4,6.24
28,С245,240,кв.160х7,160,160,,,,42.8,33.6,1640.8,205.1,,6.2,1640.8,205.1,6.2
29,С245,240,кв.160х8,160,160,,,,48.7,38.2,1836.9,229.6,,6.15,1836.9,229.6,6.15
30,С245,240,кв.180х5,180,180,,,,34.6,27.2,1749.1,194.3,,7.11,1749.1,194.3,7.11
31,С245,240,кв.180х6,180,180,,,,41.4,32.5,2063.5,229.3,,7.06,2063.5,229.3,7.06
32,С245,240,кв.180х7,180,180,,,,48.2,37.8,2372.1,263.6,,7.01,2372.1,263.6,7.01
33,С245,240,кв.180х8,180,180,,,,54.8,43,2663.3,295.9,,6.97,2663.3,295.9,6.97
34,С245,240,кв.180х9,180,180,,,,61.5,48.3,2976.5,326.2,,6.91,2976.5,326.2,6.91
35,С245,240,кв.180х10,180,180,,,,68.2,53.5,3300.7,353.5,,6.86,3300.7,353.5,6.86
36,С245,240,кв.200х5,200,200,,,,38.4,30.1,2410,241,,7.93,2410,241,7.93
37,С245,240,кв.200х6,200,200,,,,45.6,35.8,2832,283,,7.88,2832,283,7.88
38,С245,240,кв.200х7,200,200,,,,52.8,41.4,3236,324,,7.83,3236,324,7.83
39,С245,240,кв.200х8,200,200,,,,59.8,46.9,3621,362,,7.78,3621,362,7.78
40,С245,240,кв.200х9,200,200,,,,66.7,52.3,3987,399,,7.73,3987,399,7.73
41,С245,240,кв.200х10,200,200,,,,73.4,57.6,4336,434,,7.68,4336,434,7.68
42,С245,240,кв.200х11,200,200,,,,80,62.8,4667,467,,7.64,4667,467,7.64
43,С245,240,кв.200х12,200,200,,,,86.5,67,4980,498,,7.59,4980,498,7.59
44,С245,240,кв.200х13,200,200,,,,92.9,72.9,4685,527,,7.54,4685,527,7.54
45,С245,240,кв.200х14,200,200,,,,99.2,77.9,4408,554,,7.49,4408,554,7.49
46,С245,240,кв.250х8,250,250,,,,75.8,59.5,7315,585,,9.82,7315,585,9.82
47,С245,240,кв.250х9,250,250,,,,84.7,66.5,8092,647,,9.78,8092,647,9.78
48,С245,240,кв.250х10,250,250,,,,93.4,73.3,8840,707,,9.73,8840,707,9.73
49,С245,240,кв.250х11,250,250,,,,102,80.1,9559,765,,9.68,9559,765,9.68
50,С245,240,кв.250х12,250,250,,,,111,86.8,10251,820,,9.63,10251,820,9.63
51,С245,240,кв.250х13,250,250,,,,119,93.4,10917,872,,9.58,10917,872,9.58
52,С245,240,кв.250х14,250,250,,,,127,99.8,11550,924,,9.53,11550,924,9.53
53,С245,240,кв.300х8,300,300,,,,89.9,70.5,12812,846,,11.94,12812,846,11.94
54,С245,240,кв.300х9,300,300,,,,101,79.3,14302,949,,11.9,14302,949,11.9
55,С245,240,кв.300х10,300,300,,,,113,89,15712,1047,,11.79,15712,1047,11.79
56,С245,240,кв.300х11,300,300,,,,124,97.3,17080,1139,,11.74,17080,1139,11.74
57,С245,240,кв.300х12,300,300,,,,135,106,18330,1222,,11.65,18330,1222,11.65
58,С245,240,кв.300х13,300,300,,,,145,113.8,19580,1309,,11.62,19580,1309,11.62
59,С245,240,кв.300х14,300,300,,,,155,122,20784,1386,,11.58,20784,1386,11.58
60,С245,240,пр.60х40х2,60,60,,,,3.8,3,18.8,6.2,,2.23,10,5,1.63
61,С245,240,"пр.60х40х2,5",60,60,,,,4.7,3.6,22.4,7.4,,2.2,11.8,5.9,1.6
62,С245,240,пр.60х40х3,60,60,,,,5.5,4.3,26,8.6,,2.18,13.7,6.8,1.58
63,С245,240,пр.60х40х4,60,60,,,,7.1,5.5,32.2,10.7,,2.13,16.7,8.3,1.54
64,С245,240,пр.60х40х5,60,60,,,,8.6,6.7,37.1,12.3,,2.08,19.1,9.5,1.49
65,С245,240,пр.100х60х3,100,100,,,,9.2,7.2,123.2,24.6,,3.66,55.6,18.5,2.46
66,С245,240,пр.100х60х4,100,100,,,,12.2,9.6,157.6,31.5,,3.59,70.8,23.6,2.41
67,С245,240,пр.100х60х5,100,100,,,,15,11.8,187.8,37.6,,3.54,83.8,27.9,2.36
68,С245,240,пр.100х60х6,100,100,,,,17.8,14,216.3,43.3,,3.48,96.2,32.1,2.32
69,С245,240,пр.120х80х3,120,120,,,,11.6,9.1,233.4,38.9,,4.48,124.8,31.2,3.27
70,С245,240,пр.120х80х4,120,120,,,,15.3,12,299,49.8,,4.42,159.7,39.9,3.23
71,С245,240,пр.120х80х5,120,120,,,,18.9,14.8,361.4,60.2,,4.37,192.4,48.1,3.19
72,С245,240,пр.120х80х6,120,120,,,,22.6,17.7,423.2,70.5,,4.33,224.1,56,3.15
73,С245,240,пр.120х80х7,120,120,,,,26.3,20.6,483.2,80.4,,4.28,254.6,63.8,3.1
74,С245,240,пр.140х60х4,140,140,,,,15.3,12,362.1,51.7,,4.86,95.4,31.8,2.5
75,С245,240,пр.140х60х5,140,140,,,,18.9,14.8,436.1,62.3,,4.8,113.6,37.9,2.45
76,С245,240,пр.140х60х6,140,140,,,,22.6,17.7,509.7,72.8,,4.75,131.3,43.8,2.41
77,С245,240,пр.140х100х3,140,140,,,,14.2,11.1,404.2,57.7,,5.31,241.2,48.2,4.1
78,С245,240,пр.140х100х4,140,140,,,,18.5,14.5,511.3,73,,5.26,304.3,60.9,4.05
