span,height,svCode,pitch,k_per_m,const_kg,check_ok
9,3.6,1/3,6,21.6,456,True
9,3.6,2/3,6,21.6,456,True
9,3.6,2/4,6,21.6,456,True
9,3.6,3/1,6,21.6,456,True
9,3.6,3/2,6,21.6,456,True
9,3.6,4/1,6,21.6,456,True
9,3.6,4/3,6,21.6,456,True
9,3.6,5/1,6,21.6,456,True
9,3.6,5/3,6,21.6,456,True
9,3.6,2/2,6,23.760000000000005,712,True
12,3.6,1/3,6,23.760000000000005,910,True
12,3.6,2/3,6,23.760000000000005,910,True
12,3.6,2/4,6,23.760000000000005,910,True
12,3.6,3/1,6,23.760000000000005,910,True
12,3.6,3/2,6,23.760000000000005,910,True
12,3.6,4/1,6,23.760000000000005,910,True
12,3.6,4/3,6,23.760000000000005,910,True
12,3.6,5/1,5,23.760000000000005,807,True
12,3.6,5/3,5,23.760000000000005,807,True
12,3.6,2/2,6,23.760000000000005,712,True
15,3.6,1/3,6,23.760000000000005,910,True
15,3.6,2/3,6,23.760000000000005,910,True
15,3.6,2/4,6,23.760000000000005,910,True
15,3.6,3/1,6,23.760000000000005,910,True
15,3.6,3/2,6,23.760000000000005,910,True
15,3.6,4/1,4,23.760000000000005,712,True
15,3.6,4/3,4,23.760000000000005,712,True
15,3.6,5/1,4,23.760000000000005,712,True
15,3.6,5/3,4,23.760000000000005,712,True
15,3.6,2/2,6,23.760000000000005,712,True
18,3.6,1/3,6,23.760000000000005,957,True
18,3.6,2/3,6,23.760000000000005,957,True
18,3.6,2/4,6,23.760000000000005,957,True
18,3.6,3/1,5,23.760000000000005,859,True
18,3.6,3/2,5,23.760000000000005,859,True
18,3.6,4/1,4,23.760000000000005,771,True
18,3.6,4/3,3.5,23.760000000000005,730,True
18,3.6,5/1,3,23.760000000000005,664,True
18,3.6,5/3,3,23.760000000000005,664,True
18,3.6,2/2,6,23.760000000000005,712,True
21,3.6,1/3,6,23.760000000000005,664,True
21,3.6,2/3,5,23.760000000000005,585,True
21,3.6,2/4,5,23.760000000000005,585,True
21,3.6,3/1,4,23.760000000000005,511,True
21,3.6,3/2,4,23.760000000000005,511,True
21,3.6,4/1,3,23.760000000000005,444,True
21,3.6,4/3,3,23.760000000000005,444,True
21,3.6,5/1,2.5,23.760000000000005,415,True
21,3.6,5/3,2.5,23.760000000000005,415,True
21,3.6,2/2,5,23.760000000000005,712,True
