профиль,пред_момент,масса_1м_кг
"2ТПС 145х45х1,5",7.5,5.3432
"2ТПС 150х45х1,5",7.370000000000001,5.4686
2ТПС 150х45х2,10.429764705882352,7.194
"2ТПС 150х65х1,5",9.15,6.4088
"2ТПС 195х45х1,5",10.07,6.5184
"2ТПС 200х45х1,5",10.37,6.6438
2ТПС 200х45х2,14.718352941176471,8.7634
"2ТПС 200х65х1,5",12.68,7.584
2ТПС 200х65х2,18.986470588235296,10.0176
"2ТПС 245х65х1,5",15.81,8.6338
2ТПС 245х65х2,23.991529411764706,11.4286
"2ПС 145х45х1,5",8.07,5.9
2ПС 145х45х2,10.777764705882353,7.79
"2ПС 150х45х1,5",8.44,6.03
2ПС 150х45х2,11.350941176470588,7.95
"2ПС 150х65х1,5",10.13,6.97
2ПС 150х65х2,14.401058823529413,9.2
"2ПС 195х45х1,5",11.79,7.08
2ПС 195х45х2,16.366235294117647,9.36
"2ПС 200х45х1,5",12.63,7.2
2ПС 200х45х2,16.99058823529412,9.51
"2ПС 200х65х1,5",14.379999999999999,8.14
2ПС 200х65х2,21.12564705882353,10.77
"2ПС 245х65х1,5",17.79,9.19
2ПС 245х65х2,27.307764705882356,12.18
"Z 140х1,5",4.9,3.44
Z 140х2,6.5403529411764705,4.56
"Z 140х2,5",8.322352941176472,5.66
"Z 160х1,5",5.54,3.67
Z 160х2,7.420588235294118,4.87
"Z 160х2,5",9.41294117647059,6.05
"Z 180х1,5",6.32,3.91
Z 180х2,8.48505882352941,5.19
"Z 180х2,5",10.75764705882353,6.5
"Z 200х1,5",7.14,4.15
Z 200х2,9.61094117647059,5.5
"Z 200х2,5",12.303529411764705,6.84
"Z 220х1,5",8.17,4.38
Z 220х2,11.013176470588235,5.81
"Z 220х2,5",13.997647058823532,7.23
"Z 250х1,5",10.36,4.94
Z 250х2,13.99164705882353,6.57
"Z 250х2,5",18.084705882352942,8.23
Z 250х3,21.66352941176471,9.9
Z 300х2,21.238235294117647,8.12
"Z 300х2,5",26.72470588235294,10.17
Z 300х3,32.99294117647059,12.23
Z 350х2,26.274,8.9
"Z 350х2,5",33.93529411764706,11.15
Z 350х3,40.722352941176474,13.41
Толщина,Пред М,"Масса 1м профиля, кг"
