пролет,блок_col,k,с/в,с/в_0,"Высота, м","шаг рам,м",колонна,коэф исп.%,балка,коэф исп.%_6,прогоны,коэф исп.%_8,балки конек,балки карниз,кололнна опора,колонна карниз,Болты в раме,"металлоемкость оциноковка, кг","металлоемкость узловых пластин, кг","общая металлоемкость  рамы, кг","металло-емкость распорк, кг","металлоемкость гориз. связей, распорк, кг"
9м,B,1.0,1/3,1/3,3.6,6,ПГС200/20х65х2,73,"ПГС200/20х65х1,5",78,"2ТПС 195х45х1,5 (шаг 1,5м)",82,5х2,6х2,5х2,5х2,188,174.95999999999998,140,,,
9м,B,1.0,2/3,2/3,3.6,6,"ПГС245/20х80х1,5",90,"ПГС245/20х80х1,5",89,"2ТПС 200х45х1,5 (шаг 1,125м)",92,6х2,8х2,7х2,8х2,244,183.56,174,,,
9м,B,1.0,2/4,2/4,3.6,6,ПГС200/20х65х2,89,ПГС200/20х65х2,81,"2ТПС 200х45х1,5 (шаг 1,125м)",92,5х2,6х2,6х2,8х2,212,201.56,160,,,
9м,B,1.0,3/1,3/1,3.6,6,"ПГС245/20х80х1,5",74,ПГС245/20х80х2,70,"2ТПС 200х65х2 (шаг 1,5м)",91,6х2,8х2,7х2,8х2,244,216.44,186,,,
9м,B,1.0,3/2,3/2,3.6,6,"ПГС245/20х80х1,5",86,ПГС245/20х80х2,74,"2ТПС 200х65х2 (шаг 1,5м)",90,6х2,8х2,7х2,8х2,244,204.2,186,,,
9м,B,1.0,4/1,4/1,3.6,6,"ПГС245/20х80х1,5",89,ПГС245/20х80х2,89,"2ТПС 200х65х2 (шаг 1,125м)",85,7х2,9х2,6х2,8х2,252,216.44,185,,,
9м,B,1.0,4/3,4/3,3.6,6,ПГС245/20х80х2,72,"ПГС245/20х80х2,5",72,"2ТПС 200х65х2 (шаг 1,125м)",91,6х2,8х2,6х2,8х2,236,272.6,174,,,
9м,B,1.0,5/1,5/1,3.6,6,ПГС245/20х80х2,73,"ПГС245/20х80х2,5",81,"2ТПС 200х65х2 (шаг 0,9м)",82,7х2,9х2,6х2,9х2,260,272.6,191,,,
9м,B,1.0,5/3,5/3,3.6,6,ПГС245/20х80х2,79,"ПГС245/20х80х2,5",85,"2ТПС 200х65х2 (шаг 0,9м)",85,7х2,9х2,6х2,9х2,260,272.6,191,,,
9м,B,1.0,2/2,2/2,3.6,6,"ПГС245/20х80х1,5",79,"ПГС245/20х80х1,5",85,"2ТПС 200х65х1,5 (шаг 1,25м)",85,7х2,9х2,7х2,8х2,300,556,268,,,
9м,AL,0.8,1/3,1/3,3.6,6,"ПГС200/20х65х1,5",79,"ПГС200/20х65х1,5",44,"2ТПС 200х65х1,5 (шаг 2,25м)",66,4х2,5х2,5х2,4х2,156,154.51999999999998,135,,,
9м,AL,0.8,2/3,2/3,3.6,6,"ПГС245/20х80х1,5",72,"ПГС245/20х80х1,5",72,"2ТПС 200х65х1,5 (шаг 1,5м)",81,5х2,7х2,6х2,6х2,204,183.56,154,,,
9м,AL,0.8,2/4,2/4,3.6,6,ПГС200/20х65х2,73,ПГС200/20х65х2,66,"2ТПС 200х65х1,5 (шаг 1,5м)",84,4х2,5х2,5х2,5х2,164,201.56,130,,,
9м,AL,0.8,3/1,3/1,3.6,6,"ПГС245/20х80х1,5",59,"ПГС245/20х80х1,5",86,"2ТПС 200х65х1,5 (шаг 1,125м)",80,6х2,8х2,5х2,7х2,220,183.56,176,,,
9м,AL,0.8,3/2,3/2,3.6,6,"ПГС245/20х80х1,5",70,"ПГС245/20х80х1,5",89,"2ТПС 200х65х1,5 (шаг 1,125м)",82,6х2,8х2,6х2,7х2,228,183.56,170,,,
9м,AL,0.8,4/1,4/1,3.6,6,"ПГС245/20х80х1,5",72,ПГС245/20х80х2,71,"2ТПС 200х65х2 (шаг 1,5м)",90,6х2,8х2,6х2,8х2,236,216.44,174,,,
9м,AL,0.8,4/3,4/3,3.6,6,"ПГС245/20х80х1,5",85,ПГС245/20х80х2,75,"2ТПС 200х65х2 (шаг 1,5м)",91,6х2,8х2,7х2,9х2,252,216.44,192,,,
9м,AL,0.8,5/1,5/1,3.6,6,"ПГС245/20х80х1,5",85,ПГС245/20х80х2,83,"2ТПС 200х65х2 (шаг 1,125м)",85,7х2,9х2,6х2,10х2,268,216.44,203,,,
9м,AL,0.8,5/3,5/3,3.6,6,ПГС200/20х65х2,73,"ПГС245/20х80х2,5",71,"2ТПС 200х65х2 (шаг 1,125м)",88,6х2,8х2,5х2,8х2,228,255.76,216,,,
9м,AL,0.8,2/2,2/2,3.6,6,"ПГС200/20х65х1,5",73,"ПГС200/20х65х1,5",84,"2ТПС 200х65х1,5 (шаг 1,25м)",85,7х2,8х2,6х2,7х2,300,556,268,,,
9м,BV,1.0,1/3,1/3,4.8,6,"ПГС245/20х80х2,5",67,"ПГС200/20х65х1,5",84,"2ТПС 195х45х1,5 (шаг 1,5м)",82,5х2,6х2,6х2,5х2,188,259.2,144,,,
9м,BV,1.0,2/3,2/3,4.8,6,ПГС245/20х80х2,64,ПГС245/20х80х2,66,"2ТПС 200х45х1,5 (шаг 1,125м)",92,6х2,8х2,7х2,8х2,244,277.2,174,,,
9м,BV,1.0,2/4,2/4,4.8,6,"ПГС245/20х80х2,5",72,ПГС245/20х80х2,67,"2ТПС 200х45х1,5 (шаг 1,125м)",92,6х2,8х2,7х2,8х2,244,277.2,186,,,
9м,BV,1.0,3/1,3/1,4.8,6,ПГС245/20х80х2,80,ПГС245/20х80х2,75,"2ТПС 200х65х2 (шаг 1,5м)",91,6х2,8х2,6х2,7х2,228,277.2,174,,,
9м,BV,1.0,3/2,3/2,4.8,6,ПГС245/20х80х2,81,ПГС245/20х80х2,76,"2ТПС 200х65х2 (шаг 1,5м)",90,6х2,8х2,6х2,7х2,228,277.2,169,,,
9м,BV,1.0,4/1,4/1,4.8,6,ПГС245/20х80х2,76,"ПГС245/20х80х2,5",71,"2ТПС 200х65х2 (шаг 1,125м)",85,6х2,8х2,6х2,8х2,236,308.32,174,,,
9м,BV,1.0,4/3,4/3,4.8,6,"ПГС245/20х80х2,5",74,"ПГС245/20х80х2,5",77,"2ТПС 200х65х2 (шаг 1,125м)",91,7х2,10х2,7х2,7х2,260,340,203,,,
9м,BV,1.0,5/1,5/1,4.8,6,ПГС245/20х80х2,80,"ПГС245/20х80х2,5",85,"2ТПС 200х65х2 (шаг 0,9м)",82,7х2,9х2,7х2,9х2,268,308.32,203,,,
9м,BV,1.0,5/3,5/3,4.8,6,"ПГС245/20х80х2,5",78,"ПГС245/20х80х2,5",89,"2ТПС 200х65х2 (шаг 0,9м)",85,7х2,9х2,7х2,8х2,260,340,197,,,
